customer_id,customer_name,email,city,state,signup_date
101,Alice,alice@example.com,Mumbai,MH,2024-11-05
102,Bob,bob@example.com,Delhi,DL,2024-10-12
103,Charlie,charlie@example.com,Bengaluru,KA,2024-08-20
104,David,david@example.com,Chennai,TN,2024-09-14
105,Eva,eva@example.com,Kolkata,WB,2024-12-01
106,Farah,farah@example.com,Pune,MH,2024-07-30
107,Gaurav,gaurav@example.com,Jaipur,RJ,2024-06-18
108,Hannah,hannah@example.com,Hyderabad,TG,2024-05-22
109,Ian,ian@example.com,Ahmedabad,GJ,2024-04-11
110,Jaya,jaya@example.com,Surat,GJ,2024-03-29
